model,macro_f1,macro_auc,silhouette,ct_asw,ct_asw_norm,ari,nmi
pca,0.8643589548852708,0.9937550676829277,-0.026676736399531366,-0.027765918895602225,0.4861170405521989,0.17059036153644425,0.5490168657661367
baseline,0.7572125056359812,0.9827285513934132,-0.08101196959614754,-0.07843746542930603,0.46078126728534696,0.1898662193575951,0.5767177956922842
dc_tfact,0.8552619910762326,0.9884690512440283,-0.055685898328535266,-0.05756286233243548,0.47121856883378227,0.15904148821486944,0.5471328161431916
dc_tfact_collectri,0.8535686666274902,0.9917902518586079,-0.01945716330238966,-0.021534974329474522,0.48923251283526276,0.22784190911161128,0.6059288005569713
grn_real,0.7021018458665518,0.9606059868684877,-0.12388434559106827,-0.12564168721437455,0.43717915639281274,0.13826888496528478,0.5221857009612318
grn_decoder,0.7409426880433745,0.9799287164235093,-0.13499989062547685,-0.13758075535297393,0.431209622323513,0.2159673662988663,0.5878113227449504
