model,ari,nmi,silhouette,ct_asw
dc_tfact,0.2764751543238059,0.5632647877457649,0.0028555910353821523,0.0015451987928716646
dc_tfact_rewired,0.26031634145916704,0.5445204349943223,-0.019834867237818733,-0.02372496719900741
dc_tfact_sign,0.2785476509187137,0.5654966638050555,-0.005495394839537397,-0.008005136868545934
dc_tfact_collectri,0.30388528450500607,0.594126553966266,0.011674148860663636,0.008667678474803582
