model,macro_f1,macro_auc,silhouette,ct_asw,ct_asw_norm,ae_confounded
pca,0.8314638126464752,0.9596846504775647,-0.10067195445299149,-0.1157447025179863,0.44212764874100685,False
baseline,0.7867513137017782,0.9845356812473582,0.025364859029650688,0.028833050280809402,0.5144165251404047,True
dc_tfact,0.8552619910762326,0.9884690512440283,0.0028555910353821523,0.0015451987928716646,0.5007725993964358,False
dc_tfact_collectri,0.8535686666274902,0.9917902518586079,0.011674148860663636,0.008667678474803582,0.5043338392374018,False
grn_real,0.6998757681946536,0.9607019291443125,-0.03376229852437973,-0.032749224454164505,0.48362538777291775,True
grn_decoder,0.7701606978046606,0.9826887665290865,-0.014893888495862484,-0.015848500654101372,0.4920757496729493,True
