model,ARI,NMI
pca,0.12354176870338297,0.3902115494420763
baseline,0.25516164870255137,0.5644169315827167
dc_tfact,0.2764751543238059,0.5632647877457649
dc_tfact_collectri,0.30388528450500607,0.594126553966266
grn_real,0.21457767426904772,0.48636751173443854
grn_decoder,0.23815783811067867,0.5221957855414402
